x,psi
0.194,0.953926650522266
0.195,0.953454172273663
0.196,0.952979341471672
0.197,0.952502159287888
0.198,0.952022626899712
0.199,0.951540745490342
0.2,0.951056516248772
0.201,0.95056994036979
0.202,0.950081019053975
0.203,0.949589753507689
0.204,0.949096144943083
0.205,0.948600194578086
0.206,0.948101903636407
0.207,0.947601273347529
0.208,0.947098304946707
0.209,0.946592999674966
0.21,0.946085358779097
0.211,0.945575383511653
0.212,0.945063075130947
0.213,0.944548434901049
0.214,0.944031464091782
0.215,0.943512163978722
0.216,0.942990535843189
0.217,0.942466580972249
0.218,0.941940300658709
0.219,0.941411696201112
0.22,0.940880768903738
0.221,0.940347520076597
0.222,0.939811951035428
0.223,0.939274063101693
0.224,0.938733857602579
0.225,0.938191335870987
0.226,0.937646499245537
0.227,0.937099349070559
0.228,0.936549886696092
0.229,0.935998113477879
0.23,0.935444030777367
0.231,0.934887639961698
0.232,0.934328942403712
0.233,0.93376793948194
0.234,0.933204632580601
0.235,0.932639023089598
0.236,0.932071112404517
0.237,0.931500901926621
0.238,0.930928393062847
0.239,0.930353587225804
0.24,0.929776485833768
0.241,0.92919709031068
0.242,0.928615402086141
0.243,0.928031422595407
0.244,0.927445153279392
0.245,0.926856595584655
0.246,0.926265750963405
0.247,0.925672620873492
0.248,0.925077206778406
0.249,0.924479510147271
0.25,0.923879532454845
0.251,0.923277275181512
0.252,0.922672739813284
0.253,0.92206592784179
0.254,0.92145684076428
0.255,0.920845480083614
0.256,0.920231847308265
0.257,0.919615943952311
0.258,0.918997771535432
0.259,0.918377331582906
0.26,0.917754625625609
0.261,0.917129655200003
0.262,0.916502421848143
0.263,0.915872927117664
0.264,0.915241172561782
0.265,0.914607159739288
0.266,0.913970890214546
0.267,0.913332365557487
0.268,0.912691587343609
0.269,0.912048557153967
0.27,0.911403276575174
0.271,0.910755747199396
0.272,0.910105970624348
0.273,0.909453948453288
0.274,0.908799682295017
0.275,0.908143173763871
0.276,0.90748442447972
0.277,0.906823436067961
0.278,0.906160210159519
0.279,0.905494748390838
0.28,0.904827052403877
0.281,0.904157123846111
0.282,0.903484964370521
0.283,0.902810575635595
0.284,0.902133959305319
0.285,0.901455117049178
0.286,0.900774050542146
0.287,0.900090761464689
0.288,0.899405251502752
0.289,0.898717522347766
0.29,0.898027575696631
0.291,0.897335413251725
0.292,0.896641036720887
0.293,0.895944447817424
0.294,0.8952456482601
0.295,0.894544639773132
0.296,0.89384142408619
0.297,0.893136002934389
0.298,0.892428378058284
0.299,0.89171855120387
0.3,0.891006524122574
0.301,0.890292298571253
0.302,0.889575876312186
0.303,0.888857259113074
0.304,0.888136448747035
0.305,0.887413446992595
0.306,0.886688255633691
0.307,0.885960876459658
0.308,0.885231311265234
0.309,0.884499561850548
0.31,0.883765630021118
0.311,0.883029517587849
0.312,0.882291226367025
0.313,0.881550758180306
0.314,0.880808114854724
0.315,0.880063298222677
0.316,0.879316310121926
0.317,0.878567152395591
0.318,0.877815826892143
0.319,0.877062335465403
0.32,0.876306679974536
0.321,0.875548862284049
0.322,0.874788884263779
0.323,0.874026747788898
0.324,0.873262454739901
0.325,0.872496007002606
0.326,0.871727406468146
0.327,0.870956655032966
0.328,0.87018375459882
0.329,0.869408707072761
0.33,0.868631514367144
0.331,0.867852178399613
0.332,0.867070701093103
0.333,0.866287084375831
0.334,0.865501330181293
0.335,0.86471344044826
0.336,0.863923417120772
0.337,0.863131262148132
0.338,0.862336977484904
0.339,0.861540565090907
0.34,0.860742026931209
0.341,0.859941364976124
0.342,0.859138581201204
0.343,0.858333677587241
0.344,0.857526656120252
0.345,0.856717518791484
0.346,0.855906267597402
0.347,0.855092904539688
0.348,0.854277431625234
0.349,0.85345985086614
0.35,0.852640164279703
0.351,0.851818373888419
0.352,0.850994481719975
0.353,0.850168489807242
0.354,0.849340400188273
0.355,0.848510214906297
0.356,0.847677936009714
0.357,0.84684356555209
0.358,0.846007105592149
0.359,0.845168558193775
0.36,0.844327925425999
0.361,0.843485209363
0.362,0.842640412084095
0.363,0.841793535673737
0.364,0.840944582221511
0.365,0.840093553822124
0.366,0.839240452575404
0.367,0.838385280586294
0.368,0.837528039964846
0.369,0.836668732826215
0.37,0.835807361290657
0.371,0.834943927483521
0.372,0.834078433535243
0.373,0.833210881581343
0.374,0.832341273762421
0.375,0.831469612224146
0.376,0.830595899117257
0.377,0.829720136597554
0.378,0.828842326825894
0.379,0.827962471968185
0.38,0.827080574195382
0.381,0.82619663568348
0.382,0.82531065861351
0.383,0.824422645171531
0.384,0.823532597548629
0.385,0.822640517940907
0.386,0.821746408549484
0.387,0.820850271580485
0.388,0.819952109245039
0.389,0.819051923759273
0.39,0.818149717344305
0.391,0.817245492226239
0.392,0.816339250636161
0.393,0.815430994810133
0.394,0.814520726989184
0.395,0.813608449419311
0.396,0.812694164351467
0.397,0.811777874041561
0.398,0.810859580750447
0.399,0.809939286743923
0.4,0.809016994292723
0.401,0.808092705672511
0.402,0.807166423163879
0.403,0.806238149052335
0.404,0.805307885628305
0.405,0.80437563518712
0.406,0.803441400029016
0.407,0.802505182459125
0.408,0.801566984787472
0.409,0.800626809328965
0.41,0.799684658403394
0.411,0.798740534335423
0.412,0.797794439454585
0.413,0.796846376095273
0.414,0.795896346596741
0.415,0.794944353303091
0.416,0.793990398563273
0.417,0.793034484731074
0.418,0.792076614165118
0.419,0.791116789228854
0.42,0.790155012290556
0.421,0.789191285723312
0.422,0.788225611905022
0.423,0.787257993218389
0.424,0.786288432050918
0.425,0.785316930794903
0.426,0.784343491847428
0.427,0.783368117610356
0.428,0.782390810490326
0.429,0.781411572898747
0.43,0.780430407251789
0.431,0.779447315970383
0.432,0.778462301480207
0.433,0.777475366211686
0.434,0.776486512599986
0.435,0.775495743085005
0.436,0.774503060111368
0.437,0.773508466128421
0.438,0.772511963590226
0.439,0.771513554955554
0.44,0.770513242687879
0.441,0.769511029255373
0.442,0.768506917130897
0.443,0.767500908791998
0.444,0.766493006720901
0.445,0.765483213404506
0.446,0.764471531334376
0.447,0.763457963006736
0.448,0.762442510922466
0.449,0.761425177587093
0.45,0.760405965510785
0.451,0.759384877208347
0.452,0.758361915199213
0.453,0.75733708200744
0.454,0.756310380161701
0.455,0.755281812195283
0.456,0.754251380646073
0.457,0.75321908805656
0.458,0.752184936973822
0.459,0.751148929949525
0.46,0.750111069539913
0.461,0.749071358305804
0.462,0.748029798812581
0.463,0.746986393630189
0.464,0.745941145333127
0.465,0.74489405650044
0.466,0.743845129715717
0.467,0.74279436756708
0.468,0.74174177264718
0.469,0.74068734755319
0.47,0.7396310948868
0.471,0.738573017254208
0.472,0.737513117266116
0.473,0.736451397537721
0.474,0.735387860688711
0.475,0.734322509343257
0.476,0.733255346130009
0.477,0.732186373682085
0.478,0.731115594637068
0.479,0.730043011637
0.48,0.728968627328372
0.481,0.727892444362121
0.482,0.726814465393622
0.483,0.725734693082679
0.484,0.724653130093525
0.485,0.723569779094808
0.486,0.722484642759589
0.487,0.721397723765334
0.488,0.720309024793908
0.489,0.719218548531567
0.49,0.718126297668953
0.491,0.717032274901087
0.492,0.715936482927361
0.493,0.714838924451532
0.494,0.713739602181718
0.495,0.712638518830386
0.496,0.71153567711435
0.497,0.710431079754762
0.498,0.709324729477107
0.499,0.708216629011195
0.5,0.707106781091152
0.501,0.705995188455418
0.502,0.704881853846737
0.503,0.703766780012152
0.504,0.702649969702998
0.505,0.701531425674891
0.506,0.700411150687729
0.507,0.699289147505679
0.508,0.698165418897172
0.509,0.697039967634896
0.51,0.695912796495791
0.511,0.69478390826104
0.512,0.693653305716061
0.513,0.692520991650505
0.514,0.691386968858244
0.515,0.690251240137366
0.516,0.689113808290168
0.517,0.687974676123152
0.518,0.686833846447012
0.519,0.685691322076633
0.52,0.684547105831078
0.521,0.683401200533589
0.522,0.682253609011573
0.523,0.681104334096598
0.524,0.679953378624385
0.525,0.678800745434802
0.526,0.677646437371858
0.527,0.676490457283692
0.528,0.675332808022571
0.529,0.67417349244488
0.53,0.673012513411114
0.531,0.671849873785873
0.532,0.670685576437855
0.533,0.669519624239848
