x,psi
0.166,0.98631648219791
0.167,0.986152274174193
0.168,0.985987107501237
0.169,0.985820982669905
0.17,0.985653900173856
0.171,0.985485860509537
0.172,0.985316864176181
0.173,0.985146911675807
0.174,0.984976003513214
0.175,0.984804140195983
0.176,0.98463132223447
0.177,0.984457550141806
0.178,0.984282824433893
0.179,0.984107145629403
0.18,0.983930514249775
0.181,0.983752930819212
0.182,0.983574395864677
0.183,0.983394909915894
0.184,0.983214473505343
0.185,0.983033087168257
0.186,0.98285075144262
0.187,0.982667466869165
0.188,0.982483233991371
0.189,0.982298053355458
0.19,0.982111925510389
0.191,0.981924851007863
0.192,0.981736830402313
0.193,0.981547864250908
0.194,0.981357953113541
0.195,0.981167097552836
0.196,0.98097529813414
0.197,0.980782555425519
0.198,0.98058886999776
0.199,0.980394242424362
0.2,0.980198673281541
0.201,0.980002163148218
0.202,0.979804712606026
0.203,0.979606322239297
0.204,0.979406992635068
0.205,0.979206724383073
0.206,0.97900551807574
0.207,0.978803374308191
0.208,0.978600293678237
0.209,0.978396276786377
0.21,0.978191324235791
0.211,0.977985436632341
0.212,0.977778614584568
0.213,0.977570858703685
0.214,0.977362169603577
0.215,0.9771525479008
0.216,0.976941994214574
0.217,0.97673050916678
0.218,0.976518093381962
0.219,0.976304747487317
0.22,0.976090472112698
0.221,0.975875267890606
0.222,0.975659135456191
0.223,0.975442075447244
0.224,0.975224088504202
0.225,0.975005175270134
0.226,0.974785336390747
0.227,0.974564572514378
0.228,0.974342884291994
0.229,0.974120272377184
0.23,0.973896737426161
0.231,0.973672280097757
0.232,0.973446901053416
0.233,0.973220600957197
0.234,0.972993380475769
0.235,0.972765240278402
0.236,0.972536181036972
0.237,0.972306203425952
0.238,0.972075308122412
0.239,0.971843495806013
0.24,0.971610767159006
0.241,0.971377122866228
0.242,0.971142563615096
0.243,0.970907090095608
0.244,0.970670703000337
0.245,0.970433403024429
0.246,0.970195190865596
0.247,0.969956067224118
0.248,0.969716032802835
0.249,0.969475088307148
0.25,0.96923323444501
0.251,0.968990471926926
0.252,0.968746801465952
0.253,0.968502223777685
0.254,0.968256739580264
0.255,0.968010349594367
0.256,0.967763054543204
0.257,0.967514855152516
0.258,0.967265752150572
0.259,0.967015746268164
0.26,0.966764838238603
0.261,0.966513028797715
0.262,0.966260318683842
0.263,0.966006708637832
0.264,0.96575219940304
0.265,0.965496791725322
0.266,0.965240486353033
0.267,0.964983284037021
0.268,0.964725185530625
0.269,0.964466191589672
0.27,0.964206302972473
0.271,0.963945520439816
0.272,0.963683844754969
0.273,0.963421276683667
0.274,0.963157816994119
0.275,0.962893466456995
0.276,0.962628225845428
0.277,0.962362095935007
0.278,0.962095077503775
0.279,0.961827171332226
0.28,0.961558378203297
0.281,0.961288698902371
0.282,0.961018134217265
0.283,0.960746684938234
0.284,0.960474351857961
0.285,0.960201135771558
0.286,0.959927037476558
0.287,0.959652057772913
0.288,0.959376197462992
0.289,0.959099457351574
0.29,0.958821838245844
0.291,0.958543340955392
0.292,0.958263966292208
0.293,0.957983715070675
0.294,0.957702588107571
0.295,0.957420586222058
0.296,0.957137710235683
0.297,0.956853960972374
0.298,0.956569339258432
0.299,0.956283845922532
0.3,0.955997481795715
0.301,0.955710247711386
0.302,0.95542214450531
0.303,0.955133173015607
0.304,0.954843334082748
0.305,0.954552628549551
0.306,0.954261057261179
0.307,0.953968621065133
0.308,0.953675320811249
0.309,0.953381157351693
0.31,0.953086131540959
0.311,0.952790244235865
0.312,0.952493496295544
0.313,0.952195888581447
0.314,0.951897421957332
0.315,0.951598097289265
0.316,0.951297915445613
0.317,0.950996877297042
0.318,0.95069498371651
0.319,0.950392235579264
0.32,0.950088633762837
0.321,0.949784179147042
0.322,0.949478872613969
0.323,0.949172715047979
0.324,0.948865707335704
0.325,0.948557850366035
0.326,0.948249145030128
0.327,0.94793959222139
0.328,0.947629192835479
0.329,0.947317947770302
0.33,0.947005857926005
0.331,0.946692924204975
0.332,0.94637914751183
0.333,0.946064528753418
0.334,0.945749068838812
0.335,0.945432768679304
